dt,z_k,,,,Update est,,,
,x,y,velocity x,Velocity y,x,y,velocity x,Velocity y
28.94762800000000,0E+00,0E+00,0E+00,0E+00,4.0617E-02,1.0613E-23,2.4796E-02,-7.812E-07
31.978920000000000,2.6078E-02,-1.534E-03,9.8175E-01,-3.068E-02,1.0617E-01,-1.0228E-03,3.7661E-01,-1.0198E-02
30.858044000000000,3.0986E-01,-2.7612E-02,6.2586E+00,-5.2155E-01,3.5578E-01,-1.9173E-02,1.8839E+00,-1.3774E-01
28.976503000000000,4.3412E-01,-6.5961E-02,3.6509E+00,-7.6699E-01,5.4211E-01,-4.8671E-02,2.2764E+00,-2.635E-01
27.767252000000000,4.1111E-01,-7.0563E-02,-5.2155E-01,-7.0563E-01,5.933E-01,-7.559E-02,1.851E+00,-3.3736E-01
28.64312800000000,3.5282E-01,-7.0563E-02,-1.2272E+00,0E+00,6.0949E-01,-8.0624E-02,1.4532E+00,-2.8953E-01
28.180835999999900,3.3134E-01,-7.0563E-02,-7.9767E-01,0E+00,6.314E-01,-8.4623E-02,1.2143E+00,-2.5364E-01
26.713169000000000,3.3594E-01,-7.0563E-02,9.2039E-02,0E+00,6.7639E-01,-8.7883E-02,1.1323E+00,-2.2561E-01
27.106335999999900,3.5282E-01,-7.0563E-02,3.3748E-01,0E+00,7.2729E-01,-9.0595E-02,1.0958E+00,-2.0316E-01
28.797711000000000,3.7583E-01,-7.0563E-02,6.7495E-01,0E+00,7.8739E-01,-9.2888E-02,1.1007E+00,-1.8472E-01
30.651837,4.3258E-01,-7.0563E-02,1.1965E+00,0E+00,8.6409E-01,-9.4847E-02,1.1519E+00,-1.6925E-01
31.422419999999900,5.3996E-01,-7.0563E-02,2.5464E+00,0E+00,9.8331E-01,-9.6526E-02,1.3021E+00,-1.5582E-01
40.132462999999900,7.2097E-01,-7.0563E-02,4.2645E+00,0E+00,1.1582E+00,-9.7959E-02,1.5562E+00,-1.4384E-01
30.87817000000010,1.0492E+00,-7.3631E-02,6.995E+00,-9.2039E-02,1.4232E+00,-1.0188E-01,1.9605E+00,-1.3873E-01
28.63321100000000,1.445E+00,-7.5165E-02,9.7561E+00,-3.068E-02,1.7791E+00,-1.039E-01,2.4886E+00,-1.2952E-01
28.214961000000000,1.9175E+00,-7.6699E-02,1.1812E+01,-3.068E-02,2.207E+00,-1.0575E-01,3.0772E+00,-1.2058E-01
28.55504500000000,2.4452E+00,-7.9767E-02,1.3652E+01,-6.1359E-02,2.7008E+00,-1.0833E-01,3.7043E+00,-1.1353E-01
31.799836000000000,3.1186E+00,-7.9767E-02,1.5647E+01,0E+00,3.2683E+00,-1.0896E-01,4.3721E+00,-1.0311E-01
27.41783600000010,3.9715E+00,-8.1301E-02,1.804E+01,-3.068E-02,3.9253E+00,-1.1021E-01,5.0946E+00,-9.4096E-02
27.297085999999900,4.7354E+00,-7.9767E-02,1.9052E+01,3.068E-02,4.6266E+00,-1.0949E-01,5.7983E+00,-8.2394E-02
26.19808600000000,5.4963E+00,-7.8233E-02,2.1322E+01,6.1359E-02,5.4035E+00,-1.076E-01,6.5416E+00,-6.9157E-02
26.95525300000000,6.2464E+00,-6.9029E-02,2.1813E+01,2.1476E-01,6.2055E+00,-1.0103E-01,7.243E+00,-4.9989E-02
38.58604600000000,7.1131E+00,-6.9029E-02,2.3194E+01,3.068E-02,7.0593E+00,-9.9176E-02,7.9443E+00,-3.9035E-02
27.015626999999800,8.3065E+00,-6.9029E-02,2.4544E+01,0E+00,7.9742E+00,-9.7885E-02,8.6456E+00,-2.9204E-02
30.177003000000000,9.207E+00,-7.0563E-02,2.5341E+01,-6.1359E-02,8.9221E+00,-9.8033E-02,9.3246E+00,-2.173E-02
38.47287899999990,1.0361E+01,-7.3631E-02,2.755E+01,-9.2039E-02,9.9473E+00,-9.8739E-02,1.0036E+01,-1.4441E-02
29.068086000000000,1.1775E+01,-1.8868E-01,3.0005E+01,-2.3623E+00,1.1063E+01,-1.6222E-01,1.0783E+01,-8.5478E-02
27.02612800000000,1.2954E+01,-1.7641E-01,3.1477E+01,0E+00,1.2232E+01,-1.6288E-01,1.1532E+01,-7.0786E-02
25.494586000000000,1.418E+01,-2.7305E-01,3.2612E+01,-2.0862E+00,1.3446E+01,-2.2011E-01,1.2268E+01,-1.2399E-01
26.450086000000300,1.5234E+01,-2.5924E-01,3.249E+01,-1.6874E+00,1.4665E+01,-2.6559E-01,1.2953E+01,-1.6057E-01
28.23946100000010,1.6512E+01,-2.7918E-01,3.4423E+01,-1.534E-01,1.5947E+01,-2.7135E-01,1.3657E+01,-1.4672E-01
25.740461000000100,1.7917E+01,-2.7612E-01,3.5957E+01,6.1359E-02,1.7286E+01,-2.7078E-01,1.4364E+01,-1.2596E-01
26.201585999999900,1.919E+01,-2.4544E-01,3.7398E+01,6.7495E-01,1.8672E+01,-2.53E-01,1.5072E+01,-8.7465E-02
25.892711000000000,2.0664E+01,-2.8532E-01,3.9362E+01,-6.7495E-01,2.0124E+01,-2.6992E-01,1.5795E+01,-8.6788E-02
25.18891900000020,2.2062E+01,-2.8072E-01,4.019E+01,-2.1476E-01,2.1609E+01,-2.7431E-01,1.65E+01,-7.2681E-02
26.708502999999800,2.3763E+01,-2.5771E-01,4.154E+01,5.2155E-01,2.3147E,2.4752E+01,-2.564E-01,1.7927E+01
26.82312799999980,2.707E+01,-2.5617E-01,4.4608E+01,6.1359E-02,2.6399E+01,-2.5091E-01,1.8637E+01,4.5558E-03
26.901003000000200,2.877E+01,-2.4544E-01,4.5651E+01,1.534E-01,2.8085E+01,-2.4216E-01,1.9337E+01,2.9828E-02
38.2579209999999,3.046E+01,-2.2703E-01,4.8075E+01,5.2155E-01,2.9845E+01,-2.2291E-01,2.0061E+01,6.4997E-02
19.89487700000020,3.278E+01,-2.2703E-01,4.9609E+01,0E+00,3.1672E+01,-2.1572E-01,2.0789E+01,8.8459E-02
